,port_to,lat_to,lon_to,kg
0,Amsterdam,52.3727598,4.8936041,380944.1958
1,Antwerpen,51.2211097,4.3997081,1097.625
2,Bordeaux,44.841225,-0.5800364,120.0
3,Bremen,53.0758196,8.8071646,779.5
4,Copenhagen,55.6867243,12.5700724,853.7386666666666
5,Danzig,54.36119285,18.62860883362069,530.9916666666667
6,Diep.,49.9246182,1.0791444,15.0
7,Dundee,56.4605938,-2.97019,50.0
8,Emden,53.3670541,7.2058304,187.5
9,Engelland,52.5256215,6.2507379,10.0
10,Gent,51.0538286,3.7250121,188.0
11,Gottenborg,60.90282825,11.806039272147798,9.0
12,Greifswald,54.095791,13.3815238,357.50306666666665
13,Hiem,20.085617499999998,103.33268393985796,90.0
14,Hull,53.7435722,-0.3394758,45.0
15,Konigsberg,54.710128,20.5105838,27.5
16,Lieth,54.1553871,9.060752,84.0
17,Lissabon,38.7077507,-9.1365919,50.0
18,Lith,55.9725499,-3.1709492,45.0
19,Livorno,42.79021905,10.340281392353766,268.5
20,London,51.5073219,-0.1276474,38266.992
21,Muiden,52.3301851,5.0692658,2000.0
22,Newcastle,54.9738474,-1.6131572,5039.28
23,Petersburg,59.917857350000006,30.380619357025516,3591.5
24,Ramsgate,51.3334726,1.4196476,15.0
25,Riga,56.9493977,24.1051846,1440.0
26,Roan,49.4404591,1.0939658,7.5
27,Rouan,49.4404591,1.0939658,157.5
28,Stettin,53.42968095,14.592912670292268,2886.7038666666663
29,Stockholm,59.3251172,18.0710935,2161.026
30,Sundet,59.1548689,10.0506652,195.0
31,Topsham,50.6850732,-3.4658063,83.5
32,Westeras,62.1006371,7.2180364,5.0
