"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"134935";"1";"Malmøe";"Gottenborg";"Tønde";"281";"Malt";"Daler";"5";"Skilling";"13";"";"";"";"";""
"134935";"2";"Malmøe";"Gottenborg";"Tønde";"4";"Rug";"Skilling";"5";"";"";"";"";"";"";""
"134935";"3";"Malmøe";"Gottenborg";"Tønde";"1";"Ærter";"Skilling";"1";"";"";"";"";"";"";""
"134935";"4";"Malmøe";"Gottenborg";"Tønde";"5";"Havre gryn";"Skilling";"5";"";"";"";"";"";"";""
"134935";"5";"Malmøe";"Gottenborg";"Pund";"910";"Tobak";"Daler";"1 1/2";"Skilling";"10";"";"";"";"";""
"134935";"6";"Malmøe";"Gottenborg";"Pund";"4610";"Amdam polder";"Daler";"2 1/2";"Skilling";"3";"";"";"";"";""
"134935";"7";"Malmøe";"Gottenborg";"Pund";"4";"Bernsteen";"Skilling";"5";"";"";"";"";"";"";""
"134935";"8";"Malmøe";"Gottenborg";"Læst";"7 1/2";"Flesk";"Skilling";"3";"";"";"";"";"";"";""
"134935";"9";"Malmøe";"Gottenborg";"Lispund";"6";"Uld";"Skilling";"3";"";"";"";"";"";"";""
"134935";"10";"Malmøe";"Gottenborg";"Rigsdaler";"25";"Krammerie";"Skilling";"12";"";"";"";"";"";"";""
"221359";"1";"Liebau";"Hamborg";"Læster";"53";"Rug";"Daler";"26 1/2";"";"";"";"";"";"";""
"221359";"2";"Liebau";"Hamborg";"Lispund";"18";"Rakitsker hør";"Skilling";"11";"";"";"";"";"";"";""
"221359";"3";"Liebau";"Hamborg";"Skippund";"1";"Bernsteen";"Skilling";"9";"";"";"";"";"";"";""
"221359";"4";"Liebau";"Hamborg";"Rd.";"75";"Hareskind";"Daler";"1/2";"Skilling";"12";"";"";"";"";""
"222683";"1";"Stettin";"Amsterdam";"Stk.";"106";"Bielker";"Daler";"3";"Skilling";"15";"";"";"";"";""
"222683";"2";"Stettin";"Amsterdam";"Skok";"12";"Klapholt";"Skilling";"12";"";"";"";"";"";"";""
"222683";"3";"Stettin";"Amsterdam";"Skok";"131 1/10";"Staver";"Daler";"2";"Skilling";"3";"";"";"";"";""
"222683";"4";"Stettin";"Amsterdam";"Pund";"48";"Bernsteen";"Daler";"1";"Skilling";"10";"";"";"";"";""
"222683";"5";"Stettin";"Amsterdam";"Rd.";"60";"Candies kister";"Daler";"1/2";"Skilling";"5";"";"";"";"";""
"228439";"1";"Rugenwalde";"Amsterdam";"Skok";"100";"Klap holt";"";"";"";"";"";"";"";"";""
"228439";"2";"Rugenwalde";"Amsterdam";"Kister";"6";"Lærred";"";"";"";"";"";"";"";"";""
"228439";"3";"Rugenwalde";"Amsterdam";"Stk.";"900";"Pommersk lærred";"Daler";"28";"Skilling";"6";"";"";"";"";""
"228439";"4";"Rugenwalde";"Amsterdam";"Rd.";"200";"Bernsteen";"Daler";"2 1/2";"";"";"";"";"";"";""
"231440";"1";"Malmøe";"Gottenborg";"Pund";"3610";"Toback etc";"Daler";"6 1/2";"Skilling";"13";"";"";"";"";""
"231440";"2";"Malmøe";"Gottenborg";"Pund";"5900";"Amdam og puder";"Daler";"3";"Skilling";"14";"";"";"";"";""
"231440";"3";"Malmøe";"Gottenborg";"Pund";"5";"Bernsteen";"Skilling";"6";"";"";"";"";"";"";""
"231440";"4";"Malmøe";"Gottenborg";"Skippund";"27";"Rot skiær";"Daler";"1";"Skilling";"20";"";"";"";"";""
"231440";"5";"Malmøe";"Gottenborg";"Skippund";"1";"Ingeskiær";"";"";"";"";"";"";"";"";""
"231440";"6";"Malmøe";"Gottenborg";"Lispund";"11";"Ingeskiær";"Skilling";"14";"";"";"";"";"";"";""
