"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"134935";"29";"5";"1782";"487";"Hans";"Jonson";"";"Hok";"Baastad";"";"";"";"";"";"";"";"Daler";"10";"Skilling";"12";"";"";"Daler";"10";"Skilling";"12";"";"";"Daler";"12";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"25-9-2009 8:44:28";"257";"Jagt draegt 14 3/4 laester";"";"";"";""
"221359";"6";"5";"1772";"67";"Jacob";"";"";"Peters";"Barth";"Føring";"Daler";"1";"Skilling";"2";"";"";"Daler";"27 1/2";"Skilling";"8";"";"";"Daler";"26 1/2";"Skilling";"6";"";"";"Daler";"30 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"18-11-2009 14:36:18";"245";"";"";"";"";""
"222683";"13";"12";"1776";"1925";"Wisse";"";"";"Jansz";"Amsterdam";"";"";"";"";"";"";"";"Daler";"7";"Skilling";"21";"";"";"Daler";"7";"Skilling";"21";"";"";"Daler";"11 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"19-11-09";"249";"";"";"";"";" "
"228439";"4";"8";"1772";"326";"Johan Gotfried";"";"";"Blanck";"Colberg";"Føring";"Daler";"1";"Skilling";"6";"";"";"Daler";"30 1/2";"Skilling";"6";"";"";"Daler";"29 1/2";"";"";"";"";"Rosenobel";"1";"Daler";"32 1/2";"";"";"";"";"";"";"";"";"";"";"26-11-2009 10:22:00";"245";"";"";"";"";""
"231440";"14";"7";"1779";"1028";"Jøns";"";"";"Wagberg";"Kullen";"Føring";"Skilling";"23";"";"";"";"";"Daler";"12";"Skilling";"23";"";"";"Daler";"12";"";"";"";"";"Daler";"13";"";"";"";"";"";"";"";"";"";"";"";"";"30-11-2009 14:20:29";"253";"Jagt drægt 8 læster";"";"";"";""
"237035";"15";"4";"1775";"266";"Bonne";"";"";"Jansen";"Amsterdam";"Føring";"Daler";"2";"Skilling";"7";"";"";"Daler";"54";"Skilling";"7";"";"";"Daler";"52";"";"";"";"";"Daler";"56";"";"";"";"";"";"";"";"";"";"";"";"";"4-12-2009 9:03:27";"248";"";"";"";"";""
"238566";"17";"7";"1775";"542";"David";"";"";"Jacobs";"Stettin";"";"";"";"";"";"";"";"Daler";"13";"Skilling";"13";"";"";"";"";"";"";"";"";"Daler";"17";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"7-12-2009 11:48:39";"248";"";"";"";"";""
"241945";"22";"7";"1775";"1500";"Dirck Joris";"";"";"Pronck";"Nievendam";"Føring";"Daler";"3";"Skilling";"5";"";"";"Daler";"77 1/2";"Skilling";"11";"";"";"Daler";"74 1/2";"Skilling";"6";"";"";"Daler";"78 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"9-12-2009 8:03:23";"248";"";"";"";"";""
"242487";"4";"11";"1772";"520";"Peter";"";"";"Ganschow";"Stettin";"";"";"";"";"";"";"";"Daler";"7 1/2";"Skilling";"4";"";"";"";"";"";"";"";"";"Daler";"11 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"9-12-2009 10:25:15";"245";"";"";"";"";""
"242760";"20";"9";"1769";"507";"Jacob";"";"";"Backer";"Edam";"Føring";"Daler";"2 1/2";"Skilling";"9";"";"";"Daler";"70 1/2";"Skilling";"9";"";"";"Daler";"68";"";"";"";"";"Daler";"72";"";"";"";"";"";"";"";"";"";"";"";"";"9-12-2009 11:36:08";"242";"";"";"";"";""
